date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,00687B,365000,16928770,46.62,46.62,46.25,46.31,-0.72,141,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,00687B,147000,6718480,46.31,46.31,45.5,45.6,-0.71,108,,,,,,,,,,,,-0.056638,-0.011328,-0.045311,,,,,
2021-01-08,00687B,392000,17744710,45.56,45.56,45.24,45.3,-0.3,61,,,,,,,,,,,,-0.124299,-0.033922,-0.090377,,,,,
2021-01-11,00687B,361000,16325370,45.25,45.38,45.17,45.38,0.08,85,,,,,,,,,,,,-0.169511,-0.06104,-0.108472,,,,,
2021-01-12,00687B,374000,16881720,45.38,45.38,45.1,45.14,-0.24,48,45.546,-0.008914,,,,,,,,,,-0.222148,-0.093261,-0.128886,,,,,1.14094
2021-01-13,00687B,125000,5647220,45.22,45.32,45.15,45.17,0.03,26,45.318,-0.003266,,,,,,,,,,-0.258462,-0.126302,-0.132161,,,,,0.446748
2021-01-14,00687B,355000,16189390,45.63,45.72,45.49,45.49,0.32,35,45.296,0.004283,,,,,,,,,,-0.258441,-0.152729,-0.105712,,,,,1.104543
2021-01-15,00687B,127000,5778000,45.49,45.52,45.37,45.51,0.02,24,45.338,0.003794,,,,,,,,,,-0.253884,-0.17296,-0.080924,,,,,0.473174
2021-01-18,00687B,135000,6153000,45.55,45.59,45.55,45.59,0.08,23,45.38,0.004628,,,,,,,,,,-0.241039,-0.186576,-0.054463,,,,,0.604839
2021-01-19,00687B,175000,7897570,45.35,45.35,45.1,45.17,0.0,50,45.386,-0.004759,45.466,-0.00651,,,,,,,,-0.261732,-0.201607,-0.060125,,,,,0.954198
2021-01-20,00687B,145000,6578470,45.25,45.39,45.25,45.37,0.2,19,45.426,-0.001233,45.372,-4.4e-05,,,,,,,,-0.259008,-0.213087,-0.04592,27.1901,,,,0.773746
2021-01-21,00687B,116000,5266240,45.39,45.4,45.39,45.4,0.03,6,45.408,-0.000176,45.352,0.001058,,,,,,,,-0.251528,-0.220776,-0.030753,32.5735,,,,0.830946
2021-01-22,00687B,128000,5770850,45.11,45.11,45.01,45.05,-0.35,27,45.316,-0.00587,45.327,-0.006111,,,,,,,,-0.270722,-0.230765,-0.039957,32.5231,30.7622,,,0.915594
2021-01-25,00687B,119000,5382380,45.05,45.28,45.05,45.25,0.2,14,45.248,4.4e-05,45.314,-0.001412,,,,,,,32.2148,-0.266721,-0.237956,-0.028765,29.2746,31.4571,0.310714,,0.871157
2021-01-26,00687B,166000,7600910,45.71,45.86,45.71,45.78,0.53,34,45.37,0.009037,45.378,0.008859,,,,,,,42.4501,-0.218267,-0.234018,0.015751,43.3416,35.0464,0.327857,,1.231454
2021-01-27,00687B,150000,6860560,45.78,45.78,45.66,45.77,-0.01,16,45.45,0.007041,45.438,0.007307,,,,,,,53.0249,-0.178615,-0.222938,0.044323,71.2676,47.9613,0.278571,,1.104566
2021-01-28,00687B,202000,9262390,45.85,45.98,45.74,45.86,0.09,28,45.542,0.006983,45.475,0.008466,,,,,,,60.7692,-0.138333,-0.206017,0.067683,89.2096,67.9396,0.27,,1.320261
2021-01-29,00687B,201000,9169370,45.58,45.7,45.46,45.7,-0.16,25,45.672,0.000613,45.494,0.004528,,,,,,,55.9701,-0.117961,-0.188406,0.070445,82.7249,81.0674,0.283571,,1.199284
2021-02-01,00687B,125000,5659730,45.39,45.39,45.25,45.25,-0.45,19,45.672,-0.00924,45.46,-0.004619,,,,,,,51.9031,-0.136553,-0.178035,0.041482,61.1684,77.701,0.295714,,0.740521
2021-02-02,00687B,272000,12285230,45.2,45.2,45.1,45.13,-0.12,41,45.542,-0.009047,45.456,-0.007172,45.461,-0.007281,,,,,49.3289,-0.159135,-0.174255,0.01512,36.0825,59.9919,0.293571,,1.431579
2021-02-03,00687B,117000,5260010,44.96,44.96,44.93,44.93,-0.2,16,45.374,-0.009785,45.412,-0.010614,45.392,-0.010178,,,,,40.2098,-0.190969,-0.177598,-0.013371,12.3711,36.5407,0.268571,0.006406,0.63795
2021-02-04,00687B,173000,7683530,44.61,44.61,44.37,44.43,-0.5,62,45.088,-0.014594,45.315,-0.01953,45.3335,-0.01993,,,,,33.8323,-0.25362,-0.192802,-0.060818,5.3659,17.9399,0.297857,0.005983,0.974099
2021-02-05,00687B,199000,8855970,44.47,44.52,44.47,44.52,0.09,28,44.852,-0.007402,45.262,-0.016393,45.2945,-0.017099,,,,,34.0299,-0.292636,-0.212769,-0.079867,4.3478,7.3616,0.298571,0.005891,1.123025
2021-02-17,00687B,234000,10134690,43.33,43.39,43.23,43.34,-1.18,95,44.47,-0.02541,45.071,-0.038406,45.1925,-0.040991,,,,,27.7372,-0.414,-0.253015,-0.160985,5.6812,5.1316,0.355714,0.008178,1.175879
2021-02-18,00687B,150000,6509670,43.44,43.48,43.33,43.4,0.06,33,44.124,-0.016408,44.833,-0.031963,45.1055,-0.037811,,,,,25.1889,-0.499581,-0.302329,-0.197253,6.4995,5.5095,0.350714,0.008184,0.859107
