date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ma_5,bias_5,ma_10,bias_10,ma_20,bias_20,ma_60,bias_60,ma_120,bias_120,rsi_14,macd,macd_signal,macd_hist,kd_k,kd_d,atr_14,volatility_20,volume_ratio_5
2021-01-06,1536,16201090,1964039836,123.5,126.0,116.0,118.5,-2.0,10797,,,,,,,,,,,,0.0,0.0,0.0,,,,,
2021-01-07,1536,6789117,819075412,122.5,123.0,119.0,120.5,2.0,4590,,,,,,,,,,,,0.159544,0.031909,0.127635,,,,,
2021-01-08,1536,9737204,1186162021,124.0,125.5,119.0,121.0,0.5,6665,,,,,,,,,,,,0.322611,0.090049,0.232562,,,,,
2021-01-11,1536,4283447,515482664,121.5,123.0,119.0,120.0,-1.0,3227,,,,,,,,,,,,0.366921,0.145424,0.221498,,,,,
2021-01-12,1536,5902457,711126919,121.5,123.0,118.5,119.0,-1.0,4274,119.8,-0.006678,,,,,,,,,,0.317684,0.179876,0.137808,,,,,0.687719
2021-01-13,1536,3777508,457417328,121.0,122.5,120.0,120.5,1.5,2775,120.2,0.002496,,,,,,,,,,0.395145,0.22293,0.172216,,,,,0.619472
2021-01-14,1536,11990609,1488939183,122.5,126.0,122.0,125.0,4.5,8089,121.1,0.032205,,,,,,,,,,0.810306,0.340405,0.469901,,,,,1.67977
2021-01-15,1536,6855862,840074468,126.0,127.5,120.0,120.5,-4.5,4907,121.0,-0.004132,,,,,,,,,,0.767365,0.425797,0.341568,,,,,1.044786
2021-01-18,1536,3331894,394102025,120.0,121.0,115.5,119.5,-1.0,2460,120.9,-0.01158,,,,,,,,,,0.645206,0.469679,0.175527,,,,,0.522924
2021-01-19,1536,2876606,346229578,121.0,122.0,118.5,118.5,-1.0,2334,120.8,-0.01904,120.3,-0.014963,,,,,,,,0.462372,0.468217,-0.005846,,,,,0.498848
2021-01-20,1536,4451841,517583011,120.0,120.5,115.0,115.0,-3.5,3107,119.7,-0.039265,119.95,-0.041267,,,,,,,,0.034654,0.381505,-0.346851,19.4444,,,,0.754375
2021-01-21,1536,3733714,444522782,117.0,121.5,116.5,119.0,4.0,2918,118.5,0.004219,119.8,-0.006678,,,,,,,,0.018241,0.308852,-0.290611,19.0,,,,0.878524
2021-01-22,1536,2445174,288979209,119.0,119.5,117.0,119.0,0.0,1990,118.2,0.006768,119.6,-0.005017,,,,,,,,0.005174,0.248116,-0.242942,21.3333,19.9259,,,0.726035
2021-01-25,1536,2473384,289791351,119.0,119.0,115.5,117.5,-1.5,1709,117.8,-0.002547,119.35,-0.015501,,,,,,,48.0769,-0.124781,0.173537,-0.298318,28.0,22.7778,5.214286,,0.773865
2021-01-26,1536,5603107,673178102,118.0,122.5,117.5,119.0,1.5,4030,117.9,0.00933,119.35,-0.002933,,,,,,,50.9091,-0.105517,0.117726,-0.223243,28.0,25.7778,4.857143,,1.497579
2021-01-27,1536,19188012,2406271659,120.5,130.0,120.0,125.0,6.0,13419,119.9,0.042535,119.8,0.043406,,,,,,,57.1429,0.389411,0.172063,0.217348,39.5556,31.8519,5.321429,,2.86873
2021-01-28,1536,7965193,963319422,121.0,123.5,119.0,119.5,-5.5,5548,120.0,-0.004167,119.25,0.002096,,,,,,,47.9452,0.33399,0.204448,0.129542,42.8889,36.8148,5.285714,,1.057096
2021-01-29,1536,5306941,627197617,120.5,122.5,115.0,115.0,-4.5,4004,119.2,-0.035235,118.7,-0.031171,,,,,,,43.75,-0.072211,0.149117,-0.221327,32.2222,38.2222,5.535714,,0.654586
2021-02-01,1536,2913187,331059892,116.0,117.0,111.0,113.5,-1.5,2256,118.4,-0.041385,118.1,-0.03895,,,,,,,43.2099,-0.509295,0.017434,-0.526729,14.386,29.8324,5.642857,,0.355471
2021-02-02,1536,1934612,225649026,115.5,118.0,115.0,116.0,2.5,1571,117.8,-0.01528,117.85,-0.015698,119.075,-0.025824,,,,,44.5783,-0.646505,-0.115354,-0.531152,13.1579,19.922,5.714286,,0.259276
2021-02-03,1536,6499334,785497794,119.0,123.5,118.0,118.5,2.5,4813,116.5,0.017167,118.2,0.002538,119.075,-0.004829,,,,,41.7722,-0.547209,-0.201725,-0.345484,26.3158,17.9532,5.857143,0.026002,1.319969
2021-02-04,1536,5665111,679974450,116.5,122.5,116.0,120.0,1.5,4563,116.6,0.02916,118.3,0.01437,119.05,0.00798,,,,,49.3151,-0.343518,-0.230083,-0.113435,37.7193,25.731,5.785714,0.025878,1.269112
2021-02-05,1536,4914346,588792271,121.5,123.5,118.0,119.0,-1.0,3656,117.4,0.013629,118.3,0.005917,118.95,0.00042,,,,,49.3151,-0.259789,-0.236024,-0.023764,42.9825,35.6725,5.785714,0.025926,1.120636
2021-02-17,1536,3255889,389247394,121.5,121.5,118.5,120.0,1.0,2764,118.7,0.010952,118.55,0.012231,118.95,0.008827,,,,,52.0548,-0.111456,-0.211111,0.099655,45.614,42.1053,5.75,0.025931,0.731027
2021-02-18,1536,2657019,316057827,119.0,120.5,118.0,118.5,-1.5,2050,119.2,-0.005872,118.5,0.0,118.925,-0.003574,,,,,55.0725,-0.113629,-0.191614,0.077985,49.8246,46.1404,5.535714,0.026021,0.577821
2021-02-19,1536,3359176,390282796,118.0,118.0,115.0,116.0,-2.5,2683,118.7,-0.022746,117.6,-0.013605,118.7,-0.022746,,,,,45.4545,-0.313467,-0.215985,-0.097482,49.1228,48.1871,5.321429,0.026259,0.846074
2021-02-22,1536,4580536,530777825,116.0,117.5,114.5,117.5,1.5,3611,118.2,-0.005922,117.4,0.000852,118.325,-0.006972,,,,,47.8261,-0.346804,-0.242149,-0.104656,50.6667,49.8713,5.357143,0.024887,1.220372
2021-02-23,1536,2175501,251788958,116.0,117.0,115.0,115.5,-2.0,1645,117.5,-0.017021,117.45,-0.016603,118.075,-0.021808,,,,,47.1429,-0.528516,-0.299422,-0.229094,34.3704,44.7199,5.285714,0.023896,0.678651
2021-02-24,1536,1915051,221190395,116.0,116.5,115.0,115.0,-0.5,1471,116.5,-0.012876,117.6,-0.022109,117.85,-0.024183,,,,,44.1176,-0.704745,-0.380487,-0.324258,22.8889,35.9753,5.035714,0.023856,0.651942
